hour,p_DA
1,64.39741935483872
2,14.389693451612905
3,56.90564516129032
4,50.954193548387096
5,43.07419354838709
6,45.95790322580645
7,145.9269354516129
8,13.34106441935484
9,1.1038967741935486
10,146.94499998387096
11,21.6095805
12,0.7419306451612904
13,142.91516125806453
14,50.27709674193549
15,135.9887096612903
16,53.12935479032258
17,146.0248386935484
18,149.60145158064518
19,16.439596645161288
20,152.74596772580645
21,4.493516129032258
22,49.94887096774193
23,6.808774177419355
24,149.57870966129033
