In sample scenarios,Seed,In sample profit,Out of sample profit,Relative profit
50,1,136085.02736320705,151448.0586660532,-0.10144092593964527
50,2,123951.06290457284,151963.45063272826,-0.18433634937559396
50,3,142566.52384515014,151062.90238415138,-0.056243977872178386
50,4,140492.2587612587,151119.5966036024,-0.07032402204076793
50,5,141978.2366609292,151069.81442383913,-0.060181299603657035
150,1,137790.39916499963,152398.6814054338,-0.09585569970629226
150,2,146726.97604817242,151577.64731283518,-0.03200123072666283
150,3,151364.06755900406,150612.52243006858,0.004989924588006511
150,4,159270.3062392864,149877.91750905893,0.06266692843300148
150,5,143950.9022774969,151261.11656109942,-0.048328443223210504
250,1,146425.26941951335,151852.67700003783,-0.03574127034008845
250,2,154063.64361532073,149967.0593683019,0.027316560478511942
250,3,149907.07158734958,150875.81900657024,-0.006420826250351452
250,4,157437.83042198804,149800.8157928392,0.05098112843197167
250,5,144440.52291332762,151839.80503066804,-0.04873084574789821
500,1,149195.16026391502,150905.84198784028,-0.011336086803472423
500,2,158004.43359222737,147463.11399024827,0.07148445002101478
500,3,152462.3278050216,149075.29958006926,0.022720251003977676
500,4,154228.44694130338,150272.009543865,0.02632850528483477
500,5,144926.33282343828,153759.89042990917,-0.05745033754753892
750,1,149077.41339385553,151574.4436037427,-0.016473952669851744
750,2,153267.53534951428,148948.0080314148,0.02900023555325726
750,3,153867.60380260987,147443.01186803557,0.04357339051324072
750,4,152679.97412163095,151819.2688156554,0.005669275795423756
750,5,147053.83568066274,154104.08617059616,-0.045749925684181125
