hour,gen,lower_bound,upper_bound
15,x_conv1,-0.0,-4.0184295136396955
15,x_conv2,-0.0,-4.0184295136396955
15,x_conv3,3.3615704863603035,-0.0
15,x_conv4,3.591570486360304,-0.0
15,x_conv5,8.771570486360304,-0.0
15,x_conv6,-0.0,-6.818429513639696
15,x_conv7,-0.0,-6.818429513639696
15,x_conv8,-0.0,-11.318429513639696
15,x_conv9,-0.0,-11.868429513639697
15,x_conv10,-0.0,-10.338429513639696
15,x_conv11,-0.0,-6.818429513639696
15,x_conv12,-0.0,-6.448429513639695
15,x_wind1,-0.0,-17.338429513639696
15,x_wind2,-0.0,-17.338429513639696
15,x_wind3,-0.0,-17.338429513639696
15,x_wind4,-0.0,-17.338429513639696
