hour,market_price_up_reserve,market_price_down_reserve,reserve_req_up,reserve_req_down
1,3.45,2.89,266.37524999999994,177.58350000000002
2,3.45,2.89,250.47225000000006,166.98149999999998
3,3.45,2.89,238.545,159.03000000000003
4,3.45,2.89,234.56924999999995,156.37949999999998
5,3.45,2.89,234.56924999999995,156.37949999999998
6,3.45,2.89,238.545,159.03000000000003
7,4.07,3.52,294.2054999999999,196.137
8,4.07,3.52,341.9145,227.943
9,4.07,3.93,377.69624999999996,251.79749999999996
10,4.07,3.93,381.672,254.44800000000004
11,4.07,3.93,381.672,254.44800000000004
12,4.07,3.93,377.69624999999996,251.79749999999996
13,4.07,3.93,377.69624999999996,251.79749999999996
14,4.07,3.93,377.69624999999996,251.79749999999996
15,4.07,3.93,369.74475,246.4965
16,4.07,3.93,369.74475,246.4965
17,4.07,3.93,393.5992499999999,262.3995
18,4.07,3.93,397.57499999999993,265.05
19,4.07,3.93,397.57499999999993,265.05
20,4.07,3.93,381.672,254.44800000000004
21,4.07,3.93,361.79324999999994,241.19550000000004
22,4.07,3.52,329.98725,219.9915
23,4.07,3.52,290.2297499999999,193.48650000000004
24,3.45,2.89,250.47225000000006,166.98149999999998
