hour,MarketClearingPrice,ProductionGen1,ProductionGen2,ProductionGen3,ProductionGen4,ProductionGen5,ProductionGen6,ProductionGen7,ProductionGen8,ProductionGen9,ProductionGen10,ProductionGen11,ProductionGen12
1,6.02,30.4,30.4,75.0,206.85,12.0,54.25,54.25,364.18499999999995,400.0,300.0,108.5,140.0
2,6.02,30.4,30.4,75.0,206.85,12.0,54.25,54.25,258.16499999999996,400.0,300.0,108.5,140.0
3,6.02,30.4,30.4,75.0,206.85,12.0,54.25,54.25,178.64999999999975,400.0,300.0,108.5,140.0
4,6.02,30.4,30.4,75.0,206.85,12.0,54.25,54.25,152.14499999999987,400.0,300.0,108.5,140.0
5,6.02,30.4,30.4,75.0,206.85,12.0,54.25,54.25,152.14499999999987,400.0,300.0,108.5,140.0
6,6.02,30.4,30.4,75.0,206.85,12.0,54.25,54.25,178.64999999999975,400.0,300.0,108.5,140.0
7,10.52,30.4,30.4,75.0,206.85,12.0,155.0,103.2199999999998,400.0,400.0,300.0,108.5,140.0
8,10.89,30.4,30.4,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,204.77999999999975
9,13.32,30.4,123.72499999999982,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
10,13.32,30.4,150.22999999999993,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
11,13.32,30.4,150.22999999999993,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
12,13.32,30.4,123.72499999999982,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
13,13.32,30.4,123.72499999999982,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
14,13.32,30.4,123.72499999999982,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
15,13.32,30.4,70.71500000000006,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
16,13.32,30.4,70.71500000000006,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
17,13.32,108.1449999999999,152.0,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
18,13.32,134.65,152.0,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
19,13.32,134.65,152.0,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
20,13.32,30.4,150.22999999999993,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,350.0
21,10.89,30.4,30.4,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,310.0,337.30499999999984
22,10.52,30.4,30.4,75.0,206.85,12.0,155.0,155.0,400.0,400.0,300.0,295.2649999999999,140.0
23,10.52,30.4,30.4,75.0,206.85,12.0,155.0,76.71499999999992,400.0,400.0,300.0,108.5,140.0
24,6.02,30.4,30.4,75.0,206.85,12.0,54.25,54.25,258.16499999999996,400.0,300.0,108.5,140.0
